Count;Name;COMMONSPACE_1_XY;COMMONSPACE_2_XY;COMMONSPACE_3_XY;COMMONSPACE_4_XY;COMMONSPACE_6_XY;COMMONSPACE_7_XY
1;CommonSpaceAttributes;-2736.9060, -4712.1539;-3023.0940, -4712.1539;-3166.1880, -4960.0000;-3023.0940, -5207.8461;-2736.9060, -5207.8461;-2593.8120, -4960.0000
1;CommonSpaceAttributes;-5456.9060, 247.8461;-5743.0940, 247.8461;-5886.1880, 0.0000;-5743.0940, -247.8461;-5456.9060, -247.8461;-5313.8120, 0.0000
1;CommonSpaceAttributes;143.0940, 247.8461;-143.0940, 247.8461;-286.1880, 0.0000;-143.0940, -247.8461;143.0940, -247.8461;286.1880, 0.0000
1;CommonSpaceAttributes;3023.0940, -4712.1539;2736.9060, -4712.1539;2593.8120, -4960.0000;2736.9060, -5207.8461;3023.0940, -5207.8461;3166.1880, -4960.0000
1;CommonSpaceAttributes;-2736.9060, 5207.8461;-3023.0940, 5207.8461;-3166.1880, 4960.0000;-3023.0940, 4712.1539;-2736.9060, 4712.1539;-2593.8120, 4960.0000
1;CommonSpaceAttributes;3023.0940, 5207.8461;2736.9060, 5207.8461;2593.8120, 4960.0000;2736.9060, 4712.1539;3023.0940, 4712.1539;3166.1880, 4960.0000
1;CommonSpaceAttributes;5743.0940, 247.8461;5456.9060, 247.8461;5313.8120, 0.0000;5456.9060, -247.8461;5743.0940, -247.8461;5886.1880, 0.0000
